t,o,h,l,c,v
2025-11-25 23:01:00+00:00,58.05,58.06,58.02,58.04,30
2025-11-25 23:02:00+00:00,58.03,58.03,58.03,58.03,2
2025-11-25 23:03:00+00:00,58.02,58.04,58.02,58.04,6
2025-11-25 23:04:00+00:00,58.04,58.05,58.04,58.05,5
2025-11-25 23:05:00+00:00,58.04,58.05,58.03,58.03,3
2025-11-25 23:06:00+00:00,58.05,58.06,58.05,58.06,14
2025-11-25 23:07:00+00:00,58.06,58.07,58.06,58.06,9
2025-11-25 23:08:00+00:00,58.06,58.06,58.05,58.05,5
2025-11-25 23:09:00+00:00,58.05,58.06,58.05,58.06,3
2025-11-25 23:10:00+00:00,58.06,58.06,58.06,58.06,1
2025-11-25 23:11:00+00:00,58.07,58.07,58.07,58.07,9
2025-11-25 23:12:00+00:00,58.07,58.08,58.06,58.06,7
2025-11-25 23:13:00+00:00,58.07,58.07,58.06,58.07,5
2025-11-25 23:14:00+00:00,58.07,58.08,58.07,58.08,4
2025-11-25 23:15:00+00:00,58.08,58.08,58.07,58.07,8
2025-11-25 23:16:00+00:00,58.08,58.08,58.07,58.08,4
2025-11-25 23:17:00+00:00,58.07,58.07,58.07,58.07,4
2025-11-25 23:18:00+00:00,58.05,58.07,58.05,58.07,5
2025-11-25 23:19:00+00:00,58.05,58.08,58.04,58.08,23
2025-11-25 23:20:00+00:00,58.07,58.07,58.07,58.07,3
2025-11-25 23:21:00+00:00,58.08,58.08,58.07,58.07,4
2025-11-25 23:22:00+00:00,58.06,58.07,58.06,58.07,9
2025-11-25 23:23:00+00:00,58.07,58.07,58.07,58.07,1
2025-11-25 23:24:00+00:00,58.07,58.07,58.06,58.06,8
2025-11-25 23:25:00+00:00,58.07,58.07,58.05,58.05,27
2025-11-25 23:26:00+00:00,58.06,58.06,58.06,58.06,2
2025-11-25 23:27:00+00:00,58.06,58.07,58.06,58.07,4
2025-11-25 23:28:00+00:00,58.06,58.06,58.06,58.06,3
2025-11-25 23:29:00+00:00,58.06,58.07,58.06,58.07,2
2025-11-25 23:30:00+00:00,58.05,58.07,58.05,58.05,7
2025-11-25 23:31:00+00:00,58.07,58.07,58.05,58.07,4
2025-11-25 23:32:00+00:00,58.06,58.07,58.05,58.05,8
2025-11-25 23:33:00+00:00,58.05,58.07,58.05,58.07,6
2025-11-25 23:34:00+00:00,58.07,58.07,58.06,58.06,3
2025-11-25 23:35:00+00:00,58.07,58.07,58.05,58.05,2
2025-11-25 23:36:00+00:00,58.06,58.07,58.04,58.07,36
2025-11-25 23:37:00+00:00,58.07,58.08,58.06,58.06,6
2025-11-25 23:38:00+00:00,58.07,58.07,58.07,58.07,2
2025-11-25 23:39:00+00:00,58.08,58.08,58.06,58.06,28
2025-11-25 23:40:00+00:00,58.07,58.08,58.07,58.08,3
2025-11-25 23:41:00+00:00,58.07,58.08,58.07,58.07,4
2025-11-25 23:42:00+00:00,58.08,58.08,58.08,58.08,1
2025-11-25 23:43:00+00:00,58.08,58.08,58.08,58.08,1
2025-11-25 23:44:00+00:00,58.08,58.08,58.07,58.08,3
2025-11-25 23:45:00+00:00,58.07,58.08,58.07,58.08,11
2025-11-25 23:46:00+00:00,58.08,58.08,58.08,58.08,5
2025-11-25 23:47:00+00:00,58.08,58.08,58.08,58.08,1
2025-11-25 23:49:00+00:00,58.09,58.09,58.09,58.09,23
2025-11-25 23:52:00+00:00,58.09,58.09,58.09,58.09,3
2025-11-25 23:54:00+00:00,58.09,58.09,58.08,58.08,3
2025-11-25 23:55:00+00:00,58.08,58.08,58.07,58.07,9
2025-11-25 23:56:00+00:00,58.08,58.08,58.08,58.08,1
2025-11-25 23:57:00+00:00,58.07,58.07,58.07,58.07,2
